scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-1297,1,0.200,57.79,0.00,0.00
question,WebQTest-1298,1,0.252,91.06,0.00,0.00
question,WebQTest-13,1,0.262,51.86,0.00,0.00
question,WebQTest-1300,1,0.188,55.32,0.00,0.00
question,WebQTest-1301,1,0.901,244.14,0.00,0.00
question,WebQTest-1303,1,0.394,121.49,0.00,0.00
question,WebQTest-1304,1,0.222,57.23,0.00,0.00
question,WebQTest-1305,1,0.148,58.28,0.00,0.00
question,WebQTest-1306,1,0.217,57.11,0.00,0.00
question,WebQTest-1307,1,0.381,121.83,0.00,0.00
question,WebQTest-1308,1,0.201,55.87,0.00,0.00
question,WebQTest-1309,1,0.288,57.91,0.00,0.00
question,WebQTest-131,1,0.147,56.90,0.00,0.00
question,WebQTest-1310,1,0.219,89.16,0.00,0.00
question,WebQTest-1311,1,0.499,121.54,0.00,0.00
question,WebQTest-1312,1,0.200,58.86,0.00,0.00
question,WebQTest-1313,1,0.496,154.58,0.00,0.00
question,WebQTest-1314,1,0.393,121.53,0.00,0.00
question,WebQTest-1316,1,0.200,58.49,0.00,0.00
question,WebQTest-1317,1,0.201,59.26,0.00,0.00
question,WebQTest-1319,1,0.306,90.47,0.00,0.00
question,WebQTest-132,1,0.235,56.35,0.00,0.00
question,WebQTest-1320,1,0.216,59.18,0.00,0.00
question,WebQTest-1321,1,0.288,88.99,0.00,0.00
question,WebQTest-1322,1,0.637,183.35,0.00,0.00
question,WebQTest-1323,1,0.689,214.99,0.00,0.00
question,WebQTest-1324,1,0.223,59.50,0.00,0.00
question,WebQTest-1325,1,0.217,58.18,0.00,0.00
question,WebQTest-1326,1,0.742,213.49,0.00,0.00
question,WebQTest-1327,1,0.218,56.76,0.00,0.00
question,WebQTest-1328,1,0.147,59.68,0.00,0.00
question,WebQTest-1329,1,0.201,57.73,0.00,0.00
question,WebQTest-133,1,0.264,86.33,0.00,0.00
question,WebQTest-1330,1,0.183,58.90,0.00,0.00
question,WebQTest-1331,1,0.149,27.59,0.00,0.00
question,WebQTest-1332,1,0.235,57.73,0.00,0.00
question,WebQTest-1333,1,0.505,149.67,0.00,0.00
question,WebQTest-1334,1,0.218,56.84,0.00,0.00
question,WebQTest-1335,1,0.461,154.76,0.00,0.00
question,WebQTest-1336,1,0.217,56.52,0.00,0.00
question,WebQTest-1337,1,0.146,27.89,0.00,0.00
question,WebQTest-1339,1,0.212,90.20,0.00,0.00
question,WebQTest-134,1,0.270,57.57,0.00,0.00
question,WebQTest-1340,1,0.179,28.07,0.00,0.00
question,WebQTest-1341,1,0.336,123.41,0.00,0.00
question,WebQTest-1342,1,0.183,53.99,0.00,0.00
question,WebQTest-1343,1,0.195,59.47,0.00,0.00
question,WebQTest-1344,1,0.268,59.20,0.00,0.00
question,WebQTest-1348,1,0.218,58.33,0.00,0.00
question,WebQTest-1350,1,0.212,60.91,0.00,0.00
question,WebQTest-1351,1,0.177,30.37,0.00,0.00
question,WebQTest-1353,1,0.365,121.28,0.00,0.00
question,WebQTest-1354,1,0.230,56.40,0.00,0.00
question,WebQTest-1355,1,0.229,59.64,0.00,0.00
question,WebQTest-1356,1,0.230,89.59,0.00,0.00
question,WebQTest-1357,1,-0.781,91.06,0.00,0.00
question,WebQTest-1358,1,0.213,59.57,0.00,0.00
question,WebQTest-1359,1,0.229,56.58,0.00,0.00
question,WebQTest-1361,1,0.212,58.42,0.00,0.00
question,WebQTest-1362,1,0.230,56.10,0.00,0.00
question,WebQTest-1363,1,0.213,91.86,0.00,0.00
question,WebQTest-1364,1,0.331,93.06,0.00,0.00
question,WebQTest-1365,1,0.298,90.47,0.00,0.00
question,WebQTest-1366,1,0.145,28.49,0.00,0.00
question,WebQTest-1367,1,0.300,89.69,0.00,0.00
question,WebQTest-1368,1,0.254,90.50,0.00,0.00
question,WebQTest-1369,1,0.691,182.97,0.00,0.00
question,WebQTest-1370,1,0.189,59.76,0.00,0.00
question,WebQTest-1373,1,0.289,90.01,0.00,0.00
question,WebQTest-1374,1,0.200,58.66,0.00,0.00
question,WebQTest-1376,1,0.200,59.84,0.00,0.00
question,WebQTest-1378,1,0.187,53.37,0.00,0.00
question,WebQTest-1379,1,0.271,59.62,0.00,0.00
question,WebQTest-138,1,0.409,118.47,0.00,0.00
question,WebQTest-1380,1,0.619,185.39,0.00,0.00
question,WebQTest-1381,1,0.252,90.86,0.00,0.00
question,WebQTest-1382,1,0.464,118.62,0.00,0.00
question,WebQTest-1383,1,0.221,92.08,0.00,0.00
question,WebQTest-1384,1,0.220,61.68,0.00,0.00
question,WebQTest-1385,1,0.591,152.79,0.00,0.00
question,WebQTest-1387,1,0.203,56.40,0.00,0.00
question,WebQTest-1388,1,0.225,57.04,0.00,0.00
question,WebQTest-1389,1,0.379,122.35,0.00,0.00
question,WebQTest-139,1,0.247,86.65,0.00,0.00
question,WebQTest-1390,1,0.149,57.54,0.00,0.00
question,WebQTest-1391,1,0.256,61.30,0.00,0.00
question,WebQTest-1392,1,0.220,59.90,0.00,0.00
question,WebQTest-1394,1,0.227,54.81,0.00,0.00
question,WebQTest-1395,1,0.538,151.03,0.00,0.00
question,WebQTest-1396,1,0.221,89.74,0.00,0.00
question,WebQTest-1398,1,0.149,28.27,0.00,0.00
question,WebQTest-1399,1,0.502,152.76,0.00,0.00
question,WebQTest-14,1,0.307,84.11,0.00,0.00
question,WebQTest-1402,1,0.203,58.02,0.00,0.00
question,WebQTest-1403,1,0.238,59.16,0.00,0.00
question,WebQTest-1405,1,0.716,212.36,0.00,0.00
question,WebQTest-1408,1,0.149,28.46,0.00,0.00
question,WebQTest-1409,1,0.554,185.42,0.00,0.00
question,WebQTest-141,1,0.218,58.10,0.00,0.00
question,WebQTest-1410,1,0.573,153.69,0.00,0.00
question,WebQTest-1414,1,0.661,214.41,0.00,0.00
question,WebQTest-1416,1,1.001,277.92,0.00,0.00
question,WebQTest-1417,1,0.241,89.70,0.00,0.00
question,WebQTest-1418,1,0.156,27.43,0.00,0.00
question,WebQTest-1419,1,0.152,27.80,0.00,0.00
question,WebQTest-142,1,0.305,82.70,0.00,0.00
question,WebQTest-1420,1,0.222,89.78,0.00,0.00
question,WebQTest-1421,1,0.258,59.84,0.00,0.00
question,WebQTest-1422,1,0.204,58.71,0.00,0.00
question,WebQTest-1423,1,0.455,117.10,0.00,0.00
question,WebQTest-1424,1,0.204,57.02,0.00,0.00
question,WebQTest-1425,1,0.329,89.88,0.00,0.00
question,WebQTest-1426,1,0.205,60.92,0.00,0.00
question,WebQTest-1427,1,0.316,86.57,0.00,0.00
question,WebQTest-1428,1,0.245,86.46,0.00,0.00
question,WebQTest-1429,1,0.227,57.21,0.00,0.00
question,WebQTest-1432,1,0.562,153.13,0.00,0.00
question,WebQTest-1433,1,0.792,247.85,0.00,0.00
question,WebQTest-1434,1,0.151,25.28,0.00,0.00
question,WebQTest-1435,1,0.247,89.20,0.00,0.00
question,WebQTest-1436,1,0.264,59.01,0.00,0.00
question,WebQTest-1441,1,0.294,90.11,0.00,0.00
question,WebQTest-1442,1,0.187,58.76,0.00,0.00
question,WebQTest-1443,1,0.151,27.83,0.00,0.00
question,WebQTest-1445,1,0.205,57.95,0.00,0.00
question,WebQTest-1446,1,0.151,27.94,0.00,0.00
question,WebQTest-1447,1,0.241,86.78,0.00,0.00
question,WebQTest-1448,1,0.151,28.08,0.00,0.00
question,WebQTest-1449,1,0.312,90.30,0.00,0.00
question,WebQTest-145,1,0.287,55.71,0.00,0.00
question,WebQTest-1452,1,0.222,59.75,0.00,0.00
question,WebQTest-1453,1,0.222,56.63,0.00,0.00
question,WebQTest-1454,1,0.222,91.42,0.00,0.00
question,WebQTest-1455,1,0.222,59.12,0.00,0.00
question,WebQTest-1456,1,0.233,56.17,0.00,0.00
question,WebQTest-1457,1,0.217,59.67,0.00,0.00
question,WebQTest-1458,1,0.238,53.57,0.00,0.00
question,WebQTest-1459,1,0.426,152.77,0.00,0.00
question,WebQTest-146,1,0.209,84.69,0.00,0.00
question,WebQTest-1460,1,0.601,152.46,0.00,0.00
question,WebQTest-1461,1,0.147,56.80,0.00,0.00
question,WebQTest-1462,1,0.199,59.10,0.00,0.00
question,WebQTest-1463,1,0.192,52.00,0.00,0.00
question,WebQTest-1464,1,0.774,216.19,0.00,0.00
question,WebQTest-1465,1,0.199,60.94,0.00,0.00
question,WebQTest-1467,1,0.204,54.90,0.00,0.00
question,WebQTest-1468,1,0.203,53.72,0.00,0.00
question,WebQTest-147,1,0.200,29.34,0.00,0.00
question,WebQTest-1470,1,0.199,56.53,0.00,0.00
question,WebQTest-1471,1,0.217,57.94,0.00,0.00
question,WebQTest-1472,1,0.234,91.87,0.00,0.00
question,WebQTest-1473,1,0.181,25.95,0.00,0.00
question,WebQTest-1475,1,0.270,89.86,0.00,0.00
question,WebQTest-1477,1,0.430,118.66,0.00,0.00
question,WebQTest-1478,1,0.147,55.66,0.00,0.00
question,WebQTest-1479,1,0.216,59.75,0.00,0.00
question,WebQTest-1480,1,0.200,56.56,0.00,0.00
question,WebQTest-1481,1,0.217,58.34,0.00,0.00
question,WebQTest-1482,1,0.234,60.03,0.00,0.00
question,WebQTest-1483,1,0.234,88.91,0.00,0.00
question,WebQTest-1484,1,0.147,28.15,0.00,0.00
question,WebQTest-1485,1,0.234,58.80,0.00,0.00
question,WebQTest-1486,1,0.218,56.13,0.00,0.00
question,WebQTest-1487,1,0.183,58.73,0.00,0.00
question,WebQTest-1488,1,0.292,88.18,0.00,0.00
question,WebQTest-1489,1,0.235,56.22,0.00,0.00
question,WebQTest-149,1,0.217,87.53,0.00,0.00
question,WebQTest-1490,1,0.182,60.08,0.00,0.00
question,WebQTest-1493,1,0.141,59.81,0.00,0.00
