scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-380,155,69.686,23167.70,0.00,0.00
question,WebQTest-381,6,3.034,1011.76,0.00,0.00
question,WebQTest-382,6,2.593,868.30,0.00,0.00
question,WebQTest-383,22,11.260,3692.66,0.00,0.00
question,WebQTest-384,36,14.768,4818.38,0.00,0.00
question,WebQTest-385,5,2.838,930.95,0.00,0.00
question,WebQTest-386,5,2.378,777.77,0.00,0.00
question,WebQTest-388,6,3.916,1293.43,0.00,0.00
question,WebQTest-389,7,3.265,1085.44,0.00,0.00
question,WebQTest-39,14,4.221,1372.95,0.00,0.00
question,WebQTest-390,25,12.986,4177.36,0.00,0.00
question,WebQTest-392,16,4.928,1611.39,0.00,0.00
question,WebQTest-393,6,4.075,1362.84,0.00,0.00
question,WebQTest-395,28,12.495,4062.01,0.00,0.00
question,WebQTest-396,15,4.393,1434.43,0.00,0.00
question,WebQTest-397,6,2.364,774.72,0.00,0.00
question,WebQTest-398,7,3.233,1058.95,0.00,0.00
question,WebQTest-399,7,2.778,901.22,0.00,0.00
question,WebQTest-400,68,23.247,7712.53,0.00,0.00
question,WebQTest-401,28,4.534,1475.52,0.00,0.00
question,WebQTest-402,1041,26.341,7809.36,0.00,0.00
question,WebQTest-403,5,2.918,988.51,0.00,0.00
question,WebQTest-404,34,14.620,4887.04,0.00,0.00
question,WebQTest-405,14,4.344,1397.31,0.00,0.00
question,WebQTest-406,19,5.349,1723.92,0.00,0.00
question,WebQTest-408,52,18.540,5980.49,0.00,0.00
question,WebQTest-409,42,14.009,4567.98,0.00,0.00
question,WebQTest-41,1097,29.648,8650.02,0.00,0.00
question,WebQTest-410,190,74.720,24739.36,0.00,0.00
question,WebQTest-414,1039,22.289,6531.10,0.00,0.00
question,WebQTest-415,19,4.713,1559.02,0.00,0.00
question,WebQTest-416,6,2.769,927.35,0.00,0.00
question,WebQTest-417,12,4.164,1346.03,0.00,0.00
question,WebQTest-418,15,4.468,1471.90,0.00,0.00
question,WebQTest-419,5,2.476,819.48,0.00,0.00
question,WebQTest-42,6,5.001,1633.19,0.00,0.00
question,WebQTest-420,83,33.635,11196.41,0.00,0.00
question,WebQTest-421,16,4.488,1453.67,0.00,0.00
question,WebQTest-422,6,6.237,2058.68,0.00,0.00
question,WebQTest-423,17,7.008,2317.25,0.00,0.00
question,WebQTest-425,6,3.338,1086.11,0.00,0.00
question,WebQTest-426,35,9.607,3101.86,0.00,0.00
question,WebQTest-427,7,4.126,1331.20,0.00,0.00
question,WebQTest-428,7,3.401,1116.46,0.00,0.00
question,WebQTest-43,43,9.211,2937.11,0.00,0.00
question,WebQTest-430,2092,51.207,14659.57,0.00,0.00
question,WebQTest-431,6,3.391,1147.04,0.00,0.00
question,WebQTest-432,13,4.098,1313.89,0.00,0.00
question,WebQTest-433,24,4.490,1430.07,0.00,0.00
question,WebQTest-434,6,2.642,842.00,0.00,0.00
question,WebQTest-436,29,13.708,4470.85,0.00,0.00
question,WebQTest-437,1063,29.082,8566.16,0.00,0.00
question,WebQTest-438,19,4.097,1322.37,0.00,0.00
question,WebQTest-439,22,7.083,2334.33,0.00,0.00
question,WebQTest-44,1112,35.879,10987.87,0.00,0.00
question,WebQTest-440,6,2.453,816.07,0.00,0.00
question,WebQTest-441,6,2.458,819.72,0.00,0.00
question,WebQTest-442,7,2.986,977.64,0.00,0.00
question,WebQTest-443,6,2.454,785.80,0.00,0.00
question,WebQTest-446,101,37.970,12304.53,0.00,0.00
question,WebQTest-447,16,18.599,6098.21,0.00,0.00
question,WebQTest-448,5,3.006,1029.61,0.00,0.00
question,WebQTest-449,6,4.434,1469.49,0.00,0.00
question,WebQTest-45,159,52.937,17212.54,0.00,0.00
question,WebQTest-450,455,27.098,8722.15,0.00,0.00
question,WebQTest-451,6,2.494,801.77,0.00,0.00
question,WebQTest-453,6,2.809,937.00,0.00,0.00
question,WebQTest-454,5,2.372,782.04,0.00,0.00
question,WebQTest-455,12,4.143,1318.73,0.00,0.00
question,WebQTest-456,61,4.312,1368.75,0.00,0.00
question,WebQTest-459,59,25.799,8485.07,0.00,0.00
question,WebQTest-46,12,5.801,1920.31,0.00,0.00
question,WebQTest-461,14,3.967,1283.83,0.00,0.00
question,WebQTest-462,55,24.213,7933.72,0.00,0.00
question,WebQTest-463,151,13.912,4410.21,0.00,0.00
question,WebQTest-464,5,3.201,1087.05,0.00,0.00
question,WebQTest-465,7,4.712,1569.49,0.00,0.00
question,WebQTest-466,7,3.456,1177.67,0.00,0.00
question,WebQTest-467,15,4.890,1591.42,0.00,0.00
question,WebQTest-468,6,2.439,830.26,0.00,0.00
question,WebQTest-469,7,3.283,1089.45,0.00,0.00
question,WebQTest-47,6,2.270,714.81,0.00,0.00
question,WebQTest-470,5,2.513,822.24,0.00,0.00
question,WebQTest-472,920,17.774,5081.38,0.00,0.00
question,WebQTest-473,929,38.063,11643.95,0.00,0.00
question,WebQTest-474,42,4.351,1395.82,0.00,0.00
question,WebQTest-475,1059,21.134,5922.99,0.00,0.00
question,WebQTest-477,7,3.441,1121.85,0.00,0.00
question,WebQTest-479,4039,41.630,10328.00,0.00,0.00
question,WebQTest-48,12,3.618,1171.22,0.00,0.00
question,WebQTest-480,45,15.902,4992.40,0.00,0.00
question,WebQTest-481,5,2.616,891.64,0.00,0.00
question,WebQTest-482,802,24.793,7406.64,0.00,0.00
question,WebQTest-484,6,3.319,1138.98,0.00,0.00
question,WebQTest-487,339,31.427,9830.52,0.00,0.00
question,WebQTest-488,14,3.988,1278.57,0.00,0.00
question,WebQTest-489,36,7.015,2260.47,0.00,0.00
question,WebQTest-49,6,3.559,1159.88,0.00,0.00
question,WebQTest-490,915,17.281,4796.39,0.00,0.00
