t,gpu0_w
1786064547.702,313.164
1786064547.802,331.114
1786064547.902,344.109
1786064548.003,343.296
1786064548.103,343.494
1786064548.203,343.686
1786064548.303,343.783
1786064548.404,343.586
1786064548.505,343.654
1786064548.605,343.764
1786064548.706,343.948
1786064548.807,344.033
1786064548.908,330.682
1786064549.008,317.877
1786064549.109,316.017
1786064549.209,315.879
1786064549.310,315.879
1786064549.411,315.892
1786064549.511,315.861
1786064549.612,315.816
1786064549.713,315.874
1786064549.814,315.949
1786064549.914,314.378
1786064550.015,315.819
1786064550.115,318.896
1786064550.216,318.729
1786064550.317,318.793
1786064550.417,318.84
1786064550.518,319.286
1786064550.619,319.149
1786064550.720,319.184
1786064550.820,320.831
1786064550.921,333.627
1786064551.022,348.108
1786064551.122,346.914
1786064551.223,346.742
1786064551.324,347.039
1786064551.425,347.422
1786064551.525,347.471
1786064551.626,347.09
1786064551.727,347.314
1786064551.828,347.285
1786064551.928,345.844
1786064552.029,333.27
1786064552.130,320.47
1786064552.230,317.077
1786064552.331,317.038
1786064552.432,316.654
1786064552.533,316.55
1786064552.633,316.133
1786064552.734,316.225
1786064552.835,316.134
1786064552.936,316.229
1786064553.036,316.139
1786064553.136,315.973
1786064553.237,309.09
1786064553.337,309.09
1786064553.437,331.465
1786064553.537,345.712
1786064553.638,359.487
1786064553.738,373.694
1786064553.838,388.503
1786064553.938,398.699
1786064554.039,398.392
1786064554.139,398.492
1786064554.239,398.676
1786064554.339,405.612
1786064554.440,399.888
1786064554.540,386.884
1786064554.640,372.911
1786064554.740,359.089
1786064554.841,345.613
1786064554.941,326.9
1786064555.041,316.915
1786064555.142,317.182
1786064555.242,317.087
1786064555.342,317.02
1786064555.442,317.024
1786064555.543,316.678
1786064555.643,316.414
1786064555.743,316.4
1786064555.844,316.286
1786064555.944,315.838
1786064556.044,316.392
1786064556.144,317.115
1786064556.245,317.245
1786064556.345,317.242
1786064556.445,317.168
1786064556.545,317.29
1786064556.646,317.329
1786064556.746,317.715
1786064556.846,317.825
1786064556.947,314.77
1786064557.047,314.907
1786064557.147,318.192
1786064557.248,317.25
1786064557.348,317.364
1786064557.448,317.39
1786064557.549,317.346
1786064557.649,317.04
1786064557.749,316.983
1786064557.850,315.788
1786064557.950,316.141
1786064558.050,319.305
1786064558.150,319.3
1786064558.251,319.515
1786064558.351,319.775
1786064558.451,319.7
1786064558.554,322.571
1786064558.654,335.602
1786064558.754,339.016
1786064558.854,339.131
1786064558.955,340.545
1786064559.055,340.227
1786064559.155,340.319
1786064559.255,340.464
1786064559.356,340.481
1786064559.456,340.443
1786064559.556,340.588
1786064559.656,337.878
1786064559.757,324.929
1786064559.857,316.814
1786064559.957,315.881
1786064560.057,315.514
1786064560.158,315.457
1786064560.258,315.479
1786064560.358,315.362
1786064560.458,315.237
1786064560.559,315.221
1786064560.659,314.838
1786064560.759,314.499
1786064560.859,314.539
1786064560.960,319.695
1786064561.060,324.057
1786064561.160,336.114
