scope,key,n_events,duration_s,gpu_j,cpu_j,dram_j
question,WebQTest-1340_31035060faa30d7bd7bda3551c8cc58b,1,1.228,345.44,0.00,0.00
question,WebQTest-1340_872253e47dd6ddaa213ff31eeda8783b,1,0.835,250.37,0.00,0.00
question,WebQTest-1340_8c6b952c6bd963f0ece4e401c9eb731a,1,0.765,250.86,0.00,0.00
question,WebQTest-1348_046b26216c66e08d2b528b971292e4e6,1,0.961,308.43,0.00,0.00
question,WebQTest-1348_2ef518b6a0dd4762e72424e5739a23e6,1,0.599,566.62,0.00,0.00
question,WebQTest-1348_3bddf705b2a346fbdc2f00e9a02b84f3,1,1.223,368.80,0.00,0.00
question,WebQTest-1348_3f44e0c4fd23a8334a972ebb812e0e35,1,0.968,281.47,0.00,0.00
question,WebQTest-1348_426b5d500aec6111d69c3f6f9b16b3f3,1,1.575,467.38,0.00,0.00
question,WebQTest-1348_589bf2e9a5eb102999faf52a27cb6483,1,1.055,312.47,0.00,0.00
question,WebQTest-1348_5ad03d9a9f67e00b093c6da1ecde5619,1,1.463,441.21,0.00,0.00
question,WebQTest-1348_5ffc0cd6eeaac072e00525704c710951,1,-0.172,315.01,0.00,0.00
question,WebQTest-1348_67d901eb5314fe0563f6e2602b72f478,1,0.130,409.82,0.00,0.00
question,WebQTest-1348_995227fc5dda25d790a913ba7ce06ae5,1,1.277,375.67,0.00,0.00
question,WebQTest-1348_9cd662e0ee5c2ffbbbb0dc86053b1680,1,0.978,280.50,0.00,0.00
question,WebQTest-1348_aaea2f2132c4959cb6212b418a40c985,1,1.751,534.19,0.00,0.00
question,WebQTest-1348_b3739a5ca0b1d127fe46f94a14f4e470,1,1.033,313.56,0.00,0.00
question,WebQTest-1348_b7598df908bf8cbe941f82e1cefaec28,1,0.977,285.50,0.00,0.00
question,WebQTest-1348_bf04c3fc1743ef920e19a2ca3475cd9b,1,1.651,504.97,0.00,0.00
question,WebQTest-1348_c0fe53f8950b9ae1ce9b57622bd27ece,1,1.106,311.45,0.00,0.00
question,WebQTest-1348_c1da6561b1fb496c7b1eae3b08eafca8,1,1.703,503.59,0.00,0.00
question,WebQTest-1348_c5fda963a318e2c3c33977d39d07dabb,1,1.524,466.69,0.00,0.00
question,WebQTest-1348_d50300a04640da2d3013e859ecdc9257,1,1.255,376.48,0.00,0.00
question,WebQTest-134_4b4d85a9238759037fd59117a07fa130,1,1.272,410.27,0.00,0.00
question,WebQTest-134_d951075723a9fdb1505e6bfefa71831b,1,1.526,472.39,0.00,0.00
question,WebQTest-1376_4ae3e22be9e096571209bb70c4aa6c14,1,1.314,409.56,0.00,0.00
question,WebQTest-1376_6ccb0247e2b78057c0bd25b1539df404,1,0.767,217.91,0.00,0.00
question,WebQTest-1376_97821c19501e4733cb11d7bdbd06bfef,1,0.797,246.84,0.00,0.00
question,WebQTest-1376_b1915c7cd7f743656108611e5095c2e0,1,0.888,249.09,0.00,0.00
question,WebQTest-1376_f46d89a2e7090339e748bcf7dbd14692,1,0.750,217.39,0.00,0.00
question,WebQTest-1379_08506b9394826268a5510b9780f75871,1,1.119,310.16,0.00,0.00
question,WebQTest-1379_255da87c2560e4248091e82a1c0686c5,1,1.700,504.04,0.00,0.00
question,WebQTest-1379_295e56c042fadb701e0904084e4698b4,1,1.084,344.56,0.00,0.00
question,WebQTest-1379_5d4f60d21b1a51a0e4b7f4c661219b56,1,1.309,378.51,0.00,0.00
question,WebQTest-1379_8aa8e6185dd17917c3c65844fdf14eba,1,1.053,312.81,0.00,0.00
question,WebQTest-1379_8b1ff0551fb22f1d4e54d33d3656b8e8,1,0.876,282.08,0.00,0.00
question,WebQTest-1379_8d8a89d2b3c70cf221c515e27f633b5b,1,0.999,313.79,0.00,0.00
question,WebQTest-1379_b4c9a0bc787eec842ac8af4c5f68bb36,1,1.504,471.35,0.00,0.00
question,WebQTest-1379_d3c1db6c0986d53e59f2f3cb476849b2,1,1.331,407.79,0.00,0.00
question,WebQTest-1379_fabe39ef92b4822ff61ce7719accda87,1,1.561,473.46,0.00,0.00
question,WebQTest-1384_0e945cac8043fe5af615e4b2f0ddac8f,1,0.816,247.38,0.00,0.00
question,WebQTest-1384_1ae1a6be469266690c163ee3f6e0293c,1,0.763,250.91,0.00,0.00
question,WebQTest-1384_563b401a13e5a2b9bc3c9ec4bbe58962,1,0.836,248.51,0.00,0.00
question,WebQTest-1384_744a496b907e407b16bc5d7c197dc3f0,1,1.450,439.09,0.00,0.00
question,WebQTest-1384_74c0600ef5349cd456fdc405823140e7,1,0.779,249.89,0.00,0.00
question,WebQTest-1384_765336ce498563d83d62643fccdd19e1,1,1.145,339.58,0.00,0.00
