t,gpu0_w
1786361245.120,313.017
1786361245.224,313.024
1786361245.327,312.905
1786361245.431,312.764
1786361245.535,314.233
1786361245.639,314.328
1786361245.743,314.203
1786361245.844,314.23
1786361245.945,312.155
1786361246.047,312.074
1786361246.148,312.148
1786361246.249,314.476
1786361246.351,314.496
1786361246.452,314.402
1786361246.554,314.376
1786361246.655,314.157
1786361246.757,314.022
1786361246.859,314.04
1786361246.960,312.152
1786361247.062,314.281
1786361247.163,314.491
1786361247.265,314.486
1786361247.367,314.57
1786361247.469,314.575
1786361247.571,314.812
1786361247.673,314.895
1786361247.775,313.82
1786361247.877,313.823
1786361247.979,313.905
1786361248.081,315.785
1786361248.184,315.993
1786361248.286,315.948
1786361248.389,316.088
1786361248.491,316.211
1786361248.594,314.469
1786361248.696,314.398
1786361248.799,314.391
1786361248.901,315.718
1786361249.003,315.688
1786361249.105,315.636
1786361249.208,315.652
1786361249.310,315.383
1786361249.412,315.383
1786361249.514,315.392
1786361249.617,315.32
1786361249.719,315.36
1786361249.822,317.092
1786361249.924,317.034
1786361250.027,316.962
1786361250.130,316.934
1786361250.232,315.24
1786361250.335,315.163
1786361250.438,315.119
1786361250.541,315.049
1786361250.644,315.001
1786361250.747,315.006
1786361250.850,314.874
1786361250.953,312.484
1786361251.054,312.641
1786361251.154,312.647
1786361251.255,312.925
1786361251.355,314.692
1786361251.456,314.784
1786361251.559,314.828
1786361251.663,314.927
1786361251.763,313.662
1786361251.864,312.788
1786361251.964,312.758
1786361252.068,315.035
1786361252.171,314.782
1786361252.275,314.735
1786361252.379,314.483
1786361252.483,314.698
1786361252.587,314.759
1786361252.691,314.769
1786361252.794,314.822
1786361252.897,314.306
1786361253.000,315.238
1786361253.104,315.456
1786361253.208,315.6
1786361253.312,315.797
1786361253.416,315.785
1786361253.520,315.713
1786361253.620,314.072
1786361253.724,314.147
1786361253.827,314.093
1786361253.931,314.024
1786361254.035,315.848
1786361254.139,315.844
1786361254.243,315.738
1786361254.347,315.817
1786361254.447,315.725
1786361254.550,314.438
1786361254.654,314.561
1786361254.757,315.992
1786361254.861,315.969
1786361254.965,316.178
1786361255.069,316.517
1786361255.173,316.572
1786361255.273,316.499
1786361255.375,314.995
1786361255.479,315.035
1786361255.581,315.208
1786361255.684,316.632
1786361255.788,316.605
1786361255.892,316.572
1786361255.996,316.579
1786361256.100,316.512
1786361256.200,314.865
1786361256.304,314.805
1786361256.408,314.878
1786361256.512,316.309
1786361256.612,316.281
1786361256.716,316.197
1786361256.816,316.237
1786361256.918,313.896
1786361257.022,313.043
1786361257.126,312.899
1786361257.230,312.887
1786361257.331,314.224
1786361257.434,314.19
1786361257.538,314.138
1786361257.638,313.382
1786361257.742,312.896
1786361257.842,312.812
1786361257.946,312.753
1786361258.050,315.16
1786361258.154,316.041
1786361258.258,316.082
1786361258.362,316.146
1786361258.466,316.232
1786361258.569,316.33
1786361258.673,316.343
1786361258.777,317.13
1786361258.881,317.572
1786361258.985,317.651
1786361259.088,317.617
1786361259.192,317.57
1786361259.294,315.852
1786361259.398,315.832
1786361259.501,315.748
1786361259.605,315.631
1786361259.709,315.54
1786361259.813,315.524
1786361259.913,315.73
1786361260.016,313.516
1786361260.120,313.667
1786361260.224,313.617
1786361260.328,313.57
1786361260.432,315.286
1786361260.533,315.223
1786361260.635,312.939
1786361260.738,312.85
1786361260.842,312.867
1786361260.946,312.904
1786361261.050,312.614
1786361261.154,314.91
1786361261.257,314.626
1786361261.361,314.622
1786361261.465,314.612
1786361261.569,314.51
1786361261.670,312.217
1786361261.774,314.416
1786361261.878,314.578
1786361261.982,314.529
1786361262.085,314.404
1786361262.189,313.335
1786361262.293,313.132
1786361262.397,313.206
1786361262.501,313.289
1786361262.604,313.303
1786361262.706,313.335
1786361262.808,314.246
1786361262.912,314.171
1786361263.015,314.116
1786361263.119,314.141
1786361263.223,314.388
1786361263.327,315.374
1786361263.431,315.451
1786361263.534,315.349
1786361263.638,315.22
1786361263.739,313.974
1786361263.843,314.031
1786361263.946,315.458
1786361264.050,315.556
1786361264.154,315.64
1786361264.258,315.73
1786361264.362,315.566
1786361264.466,315.73
1786361264.570,315.686
1786361264.674,316.004
1786361264.777,316.03
1786361264.881,317.238
1786361264.985,317.169
1786361265.089,317.176
1786361265.193,317.158
1786361265.296,317.055
1786361265.400,316.854
1786361265.502,314.932
1786361265.606,314.864
1786361265.709,314.845
1786361265.813,314.654
1786361265.917,314.931
1786361266.021,314.893
1786361266.125,314.941
1786361266.228,314.952
1786361266.332,314.994
1786361266.437,312.975
1786361266.540,313.041
1786361266.642,314.931
1786361266.746,314.982
1786361266.846,314.513
1786361266.949,314.44
1786361267.050,314.235
1786361267.154,312.628
1786361267.257,312.63
1786361267.358,311.526
1786361267.461,311.489
1786361267.565,313.544
1786361267.669,313.52
1786361267.771,313.661
1786361267.875,313.76
1786361267.977,312.856
1786361268.080,312.97
1786361268.184,312.919
1786361268.288,314.734
1786361268.392,314.681
1786361268.496,315.814
1786361268.599,315.742
1786361268.703,315.656
1786361268.807,315.743
1786361268.911,315.73
1786361269.012,313.503
1786361269.116,314.871
1786361269.220,314.826
1786361269.324,314.816
1786361269.428,314.609
1786361269.531,314.841
1786361269.635,314.821
1786361269.739,314.92
1786361269.843,314.982
1786361269.947,314.912
1786361270.051,314.792
1786361270.155,316.875
1786361270.258,316.999
1786361270.362,317.062
1786361270.463,315.602
1786361270.564,315.652
1786361270.668,315.342
1786361270.772,315.24
1786361270.876,315.225
1786361270.979,315.384
1786361271.083,315.454
1786361271.185,315.515
1786361271.286,313.641
1786361271.389,313.548
1786361271.493,313.568
1786361271.596,314.971
1786361271.700,314.988
1786361270.706,315.085
1786361270.809,315.217
1786361270.913,315.246
1786361271.016,313.561
1786361271.120,313.599
1786361271.224,313.534
1786361271.327,315.441
1786361271.431,314.335
1786361271.535,314.305
1786361271.639,314.456
1786361271.740,314.512
1786361271.844,314.593
1786361271.944,314.538
1786361272.046,313.238
1786361272.150,314.912
1786361272.254,314.899
1786361272.358,315.047
1786361272.461,315.108
1786361272.565,316.319
1786361272.669,316.332
1786361272.773,316.279
1786361272.873,314.277
1786361272.977,314.23
1786361273.081,314.329
1786361273.185,315.703
1786361273.289,315.599
1786361273.392,315.727
1786361273.496,315.604
1786361273.600,315.675
1786361273.704,315.655
1786361273.805,314.265
1786361273.909,314.269
1786361274.013,316.355
1786361274.116,316.386
1786361274.220,316.415
1786361274.324,316.369
1786361274.428,316.453
1786361274.532,316.31
1786361274.633,315.06
1786361274.737,315.031
1786361274.841,315.141
1786361274.945,316.531
1786361275.049,316.663
1786361275.152,316.511
1786361275.256,316.552
1786361275.357,316.619
1786361275.459,314.966
1786361275.561,314.955
1786361275.665,315.046
1786361275.767,315.78
1786361275.867,315.862
1786361275.970,315.712
1786361276.074,315.617
1786361276.178,315.506
1786361276.282,315.485
1786361276.386,315.399
1786361276.489,315.234
1786361276.593,315.847
1786361276.697,315.679
1786361276.798,314.066
1786361276.902,314.723
1786361277.006,314.493
1786361277.110,314.416
1786361277.213,314.305
1786361277.317,314.257
1786361277.421,314.266
1786361277.522,313.383
1786361277.625,312.559
1786361277.729,313.434
